INSTITUT BISCHOFFSHEIM;Secondaire ordinaire;Rue de la Blanchisserie;52;1000
INSTITUT DES ARTS ET METIERS;Secondaire ordinaire;Boulevard de l'Abattoir;50;1000
ACADEMIE ROYALE DES BEAUX-ARTS DE BRUXELLES;Secondaire ordinaire;Rue du Poinçon;28;1000
INSTITUT NOTRE-DAME DE LOURDES;Secondaire ordinaire;Rue Edmond Tollenaere;32;1020
CENTRE SCOLAIRE SAINT-MICHEL;Secondaire ordinaire;Boulevard Saint-Michel;24;1040
INSTITUT SAINT-JOSEPH D'ENSEIGNEMENT TECHNIQUE;Secondaire ordinaire;Rue Félix Hap;14;1040
CENTRE D'ENSEIGNEMENT SECONDAIRE D'ETTERBEEK ERNEST RICHARD;Secondaire ordinaire;Place Saint-Pierre;5;1040
INSTITUT REINE FABIOLA ENS. PROFESSIONNEL;Secondaire ordinaire;Rue de Haerne;220;1040
ATHENEE ROYAL JEAN ABSIL;Secondaire ordinaire;Avenue Hansen-Soulie;27;1040
INSTITUT DE L'ENFANT-JESUS;Secondaire ordinaire;Rue Général Leman;74;1040
INSTITUT SAINT-STANISLAS;Secondaire ordinaire;Avenue des Nerviens;131;1040
COLLEGE ROI BAUDOUIN;Secondaire ordinaire;Avenue Félix Marchal;62;1030
ATHENEE ROYAL D'EVERE;Secondaire ordinaire;Avenue Constant Permeke;2;1140
ATHENEE ROYAL ANDREE THOMAS;Secondaire ordinaire;Avenue Reine Marie-Henriette;47;1190
INSTITUT SAINTE-URSULE;Secondaire ordinaire;Avenue des Armures;39;1190
COLLEGE DU SACRE-COEUR;Secondaire ordinaire;Rue Louis Delhove;65;1083
CENTRE SCOLAIRE NOTRE-DAME DE LA SAGESSE;Secondaire ordinaire;Avenue Van Overbeke;10;1083
ATHENEE ROYAL DE GANSHOREN;Secondaire ordinaire;Rue Auguste De Cock;1;1083
INSTITUT SAINT-BONIFACE- PARNASSE;Secondaire ordinaire;Rue du Viaduc;82;1050
"CENTRE SCOLAIRE ""MA CAMPAGNE""";Secondaire ordinaire;Rue Africaine;3;1050
CENTRE SCOLAIRE SAINT-VINCENT SAINT-FRANCOIS;Secondaire ordinaire;Chaussée de Vleurgat;55;1050
INSTITUT SAINT-ANDRE;Secondaire ordinaire;Avenue de l'Hippodrome;180;1050
CENTRE SCOLAIRE EPERONNIERS-MERCELIS;Secondaire ordinaire;Rue Mercelis;36-38;1050
INSTITUT TECHNIQUE RENE CARTIGNY;Secondaire ordinaire;Place de la Petite Suisse;4;1050
ATHENEE COMMUNAL CHARLES JANSSENS;Secondaire ordinaire;Place de Londres;5;1050
CENTRE SCOLAIRE SAINT-ADRIEN - VAL DUCHESSE;Secondaire ordinaire;Schoolgat;5;1050
ATHENEE ROYAL DE JETTE;Secondaire ordinaire;Avenue de Levis Mirepoix;100;1090
CENTRE SCOLAIRE DU SACRE-COEUR - Section Humanités;Secondaire ordinaire;Avenue du Sacré-Coeur;8;1090
COLLEGE SAINT-PIERRE;Secondaire ordinaire;Rue Jean-Baptiste Verbeyst;25;1090
ATHENEE ROYAL DE KOEKELBERG;Secondaire ordinaire;Rue Omer Lepreux;15;1081
INSTITUT DES URSULINES;Secondaire ordinaire;RUE JULES DEBECKER;71;1081
ATHENEE ROYAL SERGE CREUZ;Secondaire ordinaire;Avenue du Sippelberg;2;1080
CAMPUS SAINT-JEAN;Secondaire ordinaire;Rue de Birmingham;41;1080
ATHENEE ROYAL VICTOR HORTA;Secondaire ordinaire;Rue de la Rhétorique;16;1060
INSTITUT DES FILLES DE MARIE;Secondaire ordinaire;Rue Théodore Verhaegen;8;1060
INSTITUT SAINT-JEAN-BAPTISTE DE LA SALLE;Secondaire ordinaire;Rue Moris;19;1060
INSTITUT SAINTE-MARIE;Secondaire ordinaire;Rue Emile Feron;5;1060
CENTRE COMMUNAL D'ENSEIGNEMENT TECHNIQUE PIERRE PAULUS;Secondaire ordinaire;Rue de la Croix de Pierre;73;1060
CENTRE SCOLAIRE DES DAMES DE MARIE-HAECHT-PHILOMENE-LIMITE;Secondaire ordinaire;Chaussée de Haecht;68;1210
LYCEE GUY CUDELL;Secondaire ordinaire;Rue de Liedekerke;66;1210
ATHENEE ROYAL ALFRED VERWEE;Secondaire ordinaire;Rue Verwée;12;1030
ATHENEE COMMUNAL FERNAND BLUM;Secondaire ordinaire;Avenue Ernest Renan;12;1030
LYCEE COMMUNAL EMILE MAX;Secondaire ordinaire;Chaussée de Haecht;235;1030
CENTRE SCOLAIRE SAINTE-MARIE - LA SAGESSE;Secondaire ordinaire;Chaussée de Haecht;164;1030
INSTITUT DE LA SAINTE-FAMILLE D'HELMET;Secondaire ordinaire;Rue Chaumontel;9;1030
COLLEGE ROI BAUDOUIN ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL;Secondaire ordinaire;Avenue Eugène Plasky;184;1030
INSTITUT TECHN. CARDINAL MERCIER-NOTRE-DAME DU SACRE-COEUR;Secondaire ordinaire;Rue Portaels;81;1030
INSTITUT COMMUNAL TECHNIQUE FRANS FISCHER;Secondaire ordinaire;Rue Général Eenens;66;1030
INSTITUT SAINT-DOMINIQUE;Secondaire ordinaire;Rue Caporal Claes;38;1030
ATHENEE ROYAL D'UCCLE I;Secondaire ordinaire;Avenue Houzeau;87;1180
ECOLE DECROLY;Secondaire ordinaire;Drève des Gendarmes;45;1180
COLLEGE SAINT-PIERRE;Secondaire ordinaire;Avenue Coghen;213;1180
CENTRE D'ENSEIGNEMENT SECONDAIRE LIBRE NOTRE-DAME DES CHAMPS;Secondaire ordinaire;Rue Edith Cavell;143;1180
ATHENEE ROYAL D'UCCLE II;Secondaire ordinaire;Avenue des Tilleuls;24;1180
INSTITUT SAINT-VINCENT DE PAUL;Secondaire ordinaire;Place Jean Vander Elst;25;1180
ATHENEE GANENOU;Secondaire ordinaire;Rue du Melkriek;3;1180
COLLEGE SAINT-HUBERT;Secondaire ordinaire;Avenue Charle-Albert;9;1170
INSTITUT DE L'ASSOMPTION;Secondaire ordinaire;Avenue Alfred Solvay;4;1170
ATHENEE ROYAL WOLUWE-SAINT-LAMBERT;Secondaire ordinaire;Rue de l'Athénée Royal;75-77;1200
CENTRE SCOLAIRE DU SACRE-COEUR DE LINDTHOUT;Secondaire ordinaire;Avenue des Deux Tilleuls;2;1200
COLLEGE DON BOSCO;Secondaire ordinaire;Chaussée de Stockel;270;1200
INSTITUT DES DAMES DE MARIE;Secondaire ordinaire;Rue Vergote;40;1200
INSTITUT DE LA PROVIDENCE;Secondaire ordinaire;Rue des Déportés;42;1200
ATHENEE ROYAL CROMMELYNCK;Secondaire ordinaire;Avenue Orban;73;1150
COLLEGE JEAN XXIII;Secondaire ordinaire;Boulevard de la Woluwe;22;1150
LYCEE MATER DEI;Secondaire ordinaire;Avenue de l'Aviation;72;1150
INSTITUT DON BOSCO;Secondaire ordinaire;Avenue du Val d'Or;90 D;1150
CENTRE SCOLAIRE EDDY MERCKX;Secondaire ordinaire;Avenue Salomé;2;1150
ATHENEE ROYAL RIVA-BELLA;Secondaire ordinaire;Place Riva Bella;;1420
COLLEGE ARCHIEPISCOPAL CARDINAL MERCIER;Secondaire ordinaire;Chée de Mont-Saint-Jean;83;1420
INSTITUT DE LA VALLEE BAILLY (Enseignement général);Secondaire ordinaire;Rue de la Vallée Bailly;102;1420
INSTITUT D'ENSEIGNEMENT CARDINAL MERCIER;Secondaire ordinaire;Chemin des Roussettes;10;1410
INSTITUT DE LA VALLEE BAILLY (Enseignement technique);Secondaire ordinaire;Rue de la Vallée Bailly;102;1420
CYCLE D'OBSERVATION AUTONOME CARDINAL MERCIER;Secondaire ordinaire;Chée de Mont-Saint-Jean;83;1420
COLLEGE SAINT-ETIENNE;Secondaire ordinaire;Av Prisonniers de Guerre;36;1490
INSTITUT TECHNIQUE PROVINCIAL;Secondaire ordinaire;Parc de Wisterzée;;1490
ATHENEE ROYAL JODOIGNE;Secondaire ordinaire;Chaussée de Hannut;61;1370
INSTITUT SAINT-ALBERT;Secondaire ordinaire;Avenue Fernand Charlot;35;1370
C.E.P.E.S. CENTRE PROV. D'ENS. PRIM., SEC. ET PEDAGOG.;Secondaire ordinaire;Chaussée de Tirlemont;85;1370
ATHENEE ROYAL NIVELLES;Secondaire ordinaire;Avenue du Centenaire;34;1400
COLLEGE SAINTE-GERTRUDE;Secondaire ordinaire;Faubourg de Mons;1;1400
INSTITUT DE L'ENFANT-JESUS LYCEE;Secondaire ordinaire;Rue de Sotriamont;1;1400
INSTITUT PROVINCIAL DES ARTS ET METIERS;Secondaire ordinaire;Rue Ferdinand Delcroix;33;1400
INSTITUT DU SACRE-COEUR;Secondaire ordinaire;Rue Saint-Jean;2;1400
INSTITUT PROVINCIAL D'ENSEIGNEMENT TECHNIQUE;Secondaire ordinaire;Rue du Paradis;79A;1400
ATHENEE ROYAL DE RIXENSART;Secondaire ordinaire;rue Albert Croy;3;1330
COLLEGE NOTRE-DAME DES TROIS VALLEES;Secondaire ordinaire;Rue du Couvent;2;1332
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE;Secondaire ordinaire;Chaussée de Mons;241-243;1480
COLLEGE SAINT-FRANCOIS D'ASSISE;Secondaire ordinaire;Rue de Mons;74;1480
ATHENEE ROYAL DE WATERLOO;Secondaire ordinaire;Rue de la Station;118;1410
LYCEE DE BERLAYMONT;Secondaire ordinaire;Drève d'Argenteuil;10C;1410
INSTITUT D' ENSEIGNEMENT SECONDAIRE DES SACRES-COEURS;Secondaire ordinaire;Place Albert Ier;;1410
COLLEGE NOTRE-DAME;Secondaire ordinaire;Rue du Calvaire;4;1300
INSTITUT SAINT-JEAN-BAPTISTE;Secondaire ordinaire;Rue de Bruxelles;45;1300
INSTITUT DE LA PROVIDENCE 2E ET 3E DEGRES;Secondaire ordinaire;Rue de Nivelles;52;1300
"ECOLE INTERNATIONALE ""LE VERSEAU"" - E.L.C.E.";Secondaire ordinaire;Rue de Wavre;60;1301
COLLEGE TECHNIQUE SAINT-JEAN;Secondaire ordinaire;Rue du Pont Saint-Jean;48;1300
INSTITUT DE LA PROVIDENCE (1ER DEGRE);Secondaire ordinaire;Rue de Nivelles;52;1300
ATHENEE ROYAL PAUL DELVAUX;Secondaire ordinaire;Avenue des Villas;15;1340
COLLEGE DU CHRIST-ROI;Secondaire ordinaire;Rue de Renivaux;25;1340
LYCEE MARTIN V;Secondaire ordinaire;Rue du Collège;3;1348
ATHENEE ROYAL ATH;Secondaire ordinaire;Rue des Récollets;9;7800
INSTITUT TECHNIQUE;Secondaire ordinaire;Boulevard du Château;12;7800
INSTITUT PROVINCIAL D'ENSEIGNEMENT SECONDAIRE;Secondaire ordinaire;Rue Paul Pastur;11;7800
INSTITUT SAINT-FRANCOIS DE SALES;Secondaire ordinaire;Rue du Gouvernement;7;7800
COLLEGE SAINT-JULIEN;Secondaire ordinaire;Rue du Spectacle;1;7800
ATHENEE ROYAL LUCIENNE TELLIER;Secondaire ordinaire;Chemin du Carnois;32A;7910
